#MPI calls:
#	MPI_Bcast
#	MPI_Alltoall
#	MPI_Allreduce
#Message sizes:
#	1
#	4
#	16
#	128
#	1024
#	10240
#	102400
#	1024000
#@operation=MPI.Op(Ptr{Nothing} @0x00007f56450e3100, nothing)
#@datatype=UInt8
#@nrep=20
#@root_proc=0
#@nprocs=36
#@verbose=true
process                                               test       nrep        count           time
      7                                          MPI_Bcast          1            1   0.0001799200
      7                                          MPI_Bcast          2            1   0.0000044390
      7                                          MPI_Bcast          3            1   0.0000016340
      7                                          MPI_Bcast          4            1   0.0000030000
      7                                          MPI_Bcast          5            1   0.0000049370
      7                                          MPI_Bcast          6            1   0.0000048980
      7                                          MPI_Bcast          7            1   0.0000029730
      7                                          MPI_Bcast          8            1   0.0000021290
      7                                          MPI_Bcast          9            1   0.0000016320
      7                                          MPI_Bcast         10            1   0.0000015420
      7                                          MPI_Bcast         11            1   0.0000011070
      7                                          MPI_Bcast         12            1   0.0000019130
      7                                          MPI_Bcast         13            1   0.0000017980
      7                                          MPI_Bcast         14            1   0.0000015380
      7                                          MPI_Bcast         15            1   0.0000054610
      7                                          MPI_Bcast         16            1   0.0000018090
      7                                          MPI_Bcast         17            1   0.0000014230
      7                                          MPI_Bcast         18            1   0.0000024100
      7                                          MPI_Bcast         19            1   0.0000011180
      7                                          MPI_Bcast         20            1   0.0000019110
      8                                          MPI_Bcast          1            1   0.0001658850
      8                                          MPI_Bcast          2            1   0.0000052840
      8                                          MPI_Bcast          3            1   0.0000040520
      8                                          MPI_Bcast          4            1   0.0000038350
      8                                          MPI_Bcast          5            1   0.0000049050
      8                                          MPI_Bcast          6            1   0.0000060730
      8                                          MPI_Bcast          7            1   0.0000061960
      8                                          MPI_Bcast          8            1   0.0000043350
      8                                          MPI_Bcast          9            1   0.0000046780
      8                                          MPI_Bcast         10            1   0.0000049930
      8                                          MPI_Bcast         11            1   0.0000038560
      8                                          MPI_Bcast         12            1   0.0000054850
      8                                          MPI_Bcast         13            1   0.0000048200
      8                                          MPI_Bcast         14            1   0.0000049970
      8                                          MPI_Bcast         15            1   0.0000069910
      8                                          MPI_Bcast         16            1   0.0000051600
      8                                          MPI_Bcast         17            1   0.0000047170
      8                                          MPI_Bcast         18            1   0.0000050970
      8                                          MPI_Bcast         19            1   0.0000048840
      8                                          MPI_Bcast         20            1   0.0000052920
      9                                          MPI_Bcast          1            1   0.0000936980
      9                                          MPI_Bcast          2            1   0.0000028280
      9                                          MPI_Bcast          3            1   0.0000009510
      9                                          MPI_Bcast          4            1   0.0000041300
      9                                          MPI_Bcast          5            1   0.0000022770
      9                                          MPI_Bcast          6            1   0.0000014910
      9                                          MPI_Bcast          7            1   0.0000030300
      9                                          MPI_Bcast          8            1   0.0000030560
      9                                          MPI_Bcast          9            1   0.0000019000
      9                                          MPI_Bcast         10            1   0.0000017260
      9                                          MPI_Bcast         11            1   0.0000018090
      9                                          MPI_Bcast         12            1   0.0000030720
      9                                          MPI_Bcast         13            1   0.0000018880
      9                                          MPI_Bcast         14            1   0.0000017090
      9                                          MPI_Bcast         15            1   0.0000031510
      9                                          MPI_Bcast         16            1   0.0000026720
      9                                          MPI_Bcast         17            1   0.0000018700
      9                                          MPI_Bcast         18            1   0.0000023930
      9                                          MPI_Bcast         19            1   0.0000019860
      9                                          MPI_Bcast         20            1   0.0000023940
     10                                          MPI_Bcast          1            1   0.0000949030
     10                                          MPI_Bcast          2            1   0.0000031480
     10                                          MPI_Bcast          3            1   0.0000020240
     10                                          MPI_Bcast          4            1   0.0000039680
     10                                          MPI_Bcast          5            1   0.0000035960
     10                                          MPI_Bcast          6            1   0.0000036870
     10                                          MPI_Bcast          7            1   0.0000041620
     10                                          MPI_Bcast          8            1   0.0000035560
     10                                          MPI_Bcast          9            1   0.0000029420
     10                                          MPI_Bcast         10            1   0.0000032070
     10                                          MPI_Bcast         11            1   0.0000026410
