#MPI calls:
#	MPI_Bcast
#	MPI_Alltoall
#	MPI_Allreduce
#Message sizes:
#	1
#	4
#	16
#	128
#	1024
#	10240
#	102400
#	1024000
#@operation=MPI.Op(Ptr{Nothing} @0x00007fba3849b100, nothing)
#@datatype=UInt8
#@nrep=20
#@root_proc=0
#@nprocs=4
#@verbose=true
process                                               test       nrep        count           time
      2                                       MPI_Alltoall         20            1   0.0000024860
      3                                       MPI_Alltoall          1            1   0.0001255830
      3                                       MPI_Alltoall          2            1   0.0000037630
      3                                       MPI_Alltoall          3            1   0.0000028120
      3                                       MPI_Alltoall          4            1   0.0000024110
      3                                       MPI_Alltoall          5            1   0.0000023360
      3                                       MPI_Alltoall          6            1   0.0000024630
      3                                       MPI_Alltoall          7            1   0.0000023490
      3                                       MPI_Alltoall          8            1   0.0000020810
      3                                       MPI_Alltoall          9            1   0.0000026350
      3                                       MPI_Alltoall         10            1   0.0000021860
      3                                       MPI_Alltoall         11            1   0.0000025420
      3                                       MPI_Alltoall         12            1   0.0000020680
      3                                       MPI_Alltoall         13            1   0.0000022820
      3                                       MPI_Alltoall         14            1   0.0000021970
      3                                       MPI_Alltoall         15            1   0.0000020490
      3                                       MPI_Alltoall         16            1   0.0000022720
      3                                       MPI_Alltoall         17            1   0.0000021270
      3                                       MPI_Alltoall         18            1   0.0000021330
      3                                       MPI_Alltoall         19            1   0.0000024840
      3                                       MPI_Alltoall         20            1   0.0000018210
      4                                       MPI_Alltoall          1            1   0.0001294550
      4                                       MPI_Alltoall          2            1   0.0000032170
      4                                       MPI_Alltoall          3            1   0.0000025850
      4                                       MPI_Alltoall          4            1   0.0000025890
      4                                       MPI_Alltoall          5            1   0.0000025470
      4                                       MPI_Alltoall          6            1   0.0000026380
      4                                       MPI_Alltoall          7            1   0.0000021270
      4                                       MPI_Alltoall          8            1   0.0000029170
      4                                       MPI_Alltoall          9            1   0.0000023940
      4                                       MPI_Alltoall         10            1   0.0000027340
      4                                       MPI_Alltoall         11            1   0.0000023990
      4                                       MPI_Alltoall         12            1   0.0000025840
      4                                       MPI_Alltoall         13            1   0.0000028380
      4                                       MPI_Alltoall         14            1   0.0000023370
      4                                       MPI_Alltoall         15            1   0.0000019700
      4                                       MPI_Alltoall         16            1   0.0000024630
      4                                       MPI_Alltoall         17            1   0.0000021770
      4                                       MPI_Alltoall         18            1   0.0000024670
      4                                       MPI_Alltoall         19            1   0.0000024620
      4                                       MPI_Alltoall         20            1   0.0000028490
      1                                      MPI_Allreduce          1            1   0.0000089200
      1                                      MPI_Allreduce          2            1   0.0000027840
      1                                      MPI_Allreduce          3            1   0.0000026100
      1                                      MPI_Allreduce          4            1   0.0000027080
      1                                      MPI_Allreduce          5            1   0.0000027230
      1                                      MPI_Allreduce          6            1   0.0000027460
      1                                      MPI_Allreduce          7            1   0.0000034750
      1                                      MPI_Allreduce          8            1   0.0000031000
      1                                      MPI_Allreduce          9            1   0.0000030740
      1                                      MPI_Allreduce         10            1   0.0000028410
      1                                      MPI_Allreduce         11            1   0.0000031740
      1                                      MPI_Allreduce         12            1   0.0000032460
      1                                      MPI_Allreduce         13            1   0.0000031680
      1                                      MPI_Allreduce         14            1   0.0000031480
      1                                      MPI_Allreduce         15            1   0.0000036840
      1                                      MPI_Allreduce         16            1   0.0000033780
      1                                      MPI_Allreduce         17            1   0.0000030100
      1                                      MPI_Allreduce         18            1   0.0000030230
      1                                      MPI_Allreduce         19            1   0.0000027800
      1                                      MPI_Allreduce         20            1   0.0000025200
      2                                      MPI_Allreduce          1            1   0.0000112510
      2                                      MPI_Allreduce          2            1   0.0000019910
      2                                      MPI_Allreduce          3            1   0.0000018270
      2                                      MPI_Allreduce          4            1   0.0000016710
      2                                      MPI_Allreduce          5            1   0.0000016600
      2                                      MPI_Allreduce          6            1   0.0000016460
      2                                      MPI_Allreduce          7            1   0.0000025650
      2                                      MPI_Allreduce          8            1   0.0000029200
      2                                      MPI_Allreduce          9            1   0.0000024230
      2                                      MPI_Allreduce         10            1   0.0000023520
      2                                      MPI_Allreduce         11            1   0.0000024010
      2                                      MPI_Allreduce         12            1   0.0000024640
      2                                      MPI_Allreduce         13            1   0.0000024620
      2                                      MPI_Allreduce         14            1   0.0000028210
      2                                      MPI_Allreduce         15            1   0.0000030850
      2                                      MPI_Allreduce         16            1   0.0000030700
      2                                      MPI_Allreduce         17            1   0.0000024220
      2                                      MPI_Allreduce         18            1   0.0000046240
      2                                      MPI_Allreduce         19            1   0.0000040150
      2                                      MPI_Allreduce         20            1   0.0000036500
      3                                      MPI_Allreduce          1            1   0.0000139100
      3                                      MPI_Allreduce          2            1   0.0000038410
      3                                      MPI_Allreduce          3            1   0.0000036830
      3                                      MPI_Allreduce          4            1   0.0000036410
      3                                      MPI_Allreduce          5            1   0.0000035170
      3                                      MPI_Allreduce          6            1   0.0000035460
      3                                      MPI_Allreduce          7            1   0.0000033540
      3                                      MPI_Allreduce          8            1   0.0000024340
      3                                      MPI_Allreduce          9            1   0.0000029540
      3                                      MPI_Allreduce         10            1   0.0000028420
      3                                      MPI_Allreduce         11            1   0.0000028830
      3                                      MPI_Allreduce         12            1   0.0000027270
      3                                      MPI_Allreduce         13            1   0.0000027320
      3                                      MPI_Allreduce         14            1   0.0000024480
      3                                      MPI_Allreduce         15            1   0.0000024000
      3                                      MPI_Allreduce         16            1   0.0000025280
      3                                      MPI_Allreduce         17            1   0.0000027530
      3                                      MPI_Allreduce         18            1   0.0000028730
      3                                      MPI_Allreduce         19            1   0.0000013600
      3                                      MPI_Allreduce         20            1   0.0000014620
      4                                      MPI_Allreduce          1            1   0.0000131210
      4                                      MPI_Allreduce          2            1   0.0000030380
      4                                      MPI_Allreduce          3            1   0.0000027610
      4                                      MPI_Allreduce          4            1   0.0000025870
      4                                      MPI_Allreduce          5            1   0.0000023730
