#MPI calls:
#	MPI_Bcast
#	MPI_Alltoall
#	MPI_Allreduce
#Message sizes:
#	8
#	1024
#	2048
#@operation=MPI.Op(MPI.MPI_Op(0x00007f9158d1e080), nothing)
#@datatype=UInt8
#@nrep=50
#@root_proc=0
#@nprocs=6
                                              test       nrep        count    runtime_sec
                                     MPI_Allreduce         29            8   0.0000029060
                                     MPI_Allreduce         30            8   0.0000023640
                                     MPI_Allreduce         31            8   0.0000030860
                                     MPI_Allreduce         32            8   0.0000023450
                                     MPI_Allreduce         33            8   0.0000026650
                                     MPI_Allreduce         34            8   0.0000028260
                                     MPI_Allreduce         35            8   0.0000029460
                                     MPI_Allreduce         36            8   0.0000026960
                                     MPI_Allreduce         37            8   0.0000028160
                                     MPI_Allreduce         38            8   0.0000026450
                                     MPI_Allreduce         39            8   0.0000030160
                                     MPI_Allreduce         40            8   0.0000024250
                                     MPI_Allreduce         41            8   0.0000027650
                                     MPI_Allreduce         42            8   0.0000026550
                                     MPI_Allreduce         43            8   0.0000027350
                                     MPI_Allreduce         44            8   0.0000027050
                                     MPI_Allreduce         45            8   0.0000027750
                                     MPI_Allreduce         46            8   0.0000026250
                                     MPI_Allreduce         47            8   0.0000027950
                                     MPI_Allreduce         48            8   0.0000025750
                                     MPI_Allreduce         49            8   0.0000030260
                                     MPI_Allreduce         50            8   0.0000025540
                                         MPI_Bcast          1         1024   0.0000052700
                                         MPI_Bcast          2         1024   0.0000035170
                                         MPI_Bcast          3         1024   0.0000033870
                                         MPI_Bcast          4         1024   0.0000032770
                                         MPI_Bcast          5         1024   0.0000031260
                                         MPI_Bcast          6         1024   0.0000034860
                                         MPI_Bcast          7         1024   0.0000033960
                                         MPI_Bcast          8         1024   0.0000034070
                                         MPI_Bcast          9         1024   0.0000031660
                                         MPI_Bcast         10         1024   0.0000028160
                                         MPI_Bcast         11         1024   0.0000034360
                                         MPI_Bcast         12         1024   0.0000034170
                                         MPI_Bcast         13         1024   0.0000035270
