#MPI calls:
#	MPI_Bcast
#	MPI_Alltoall
#	MPI_Allreduce
#Message sizes:
#	1
#	4
#	16
#	128
#	1024
#	10240
#	102400
#	1024000
#@operation=MPI.Op(Ptr{Nothing} @0x00007fa4c487b100, nothing)
#@datatype=UInt8
#@nrep=20
#@root_proc=0
#@nprocs=32
#@verbose=true
process                                               test       nrep        count           time
      7                                          MPI_Bcast          1            1   0.0001155970
      7                                          MPI_Bcast          2            1   0.0000057710
      7                                          MPI_Bcast          3            1   0.0000048320
      7                                          MPI_Bcast          4            1   0.0000048470
      7                                          MPI_Bcast          5            1   0.0000042030
      7                                          MPI_Bcast          6            1   0.0000041670
      7                                          MPI_Bcast          7            1   0.0000058360
      7                                          MPI_Bcast          8            1   0.0000051350
      7                                          MPI_Bcast          9            1   0.0000051290
      7                                          MPI_Bcast         10            1   0.0000041480
      7                                          MPI_Bcast         11            1   0.0000047440
      7                                          MPI_Bcast         12            1   0.0000054730
      7                                          MPI_Bcast         13            1   0.0000047880
      7                                          MPI_Bcast         14            1   0.0000048150
      7                                          MPI_Bcast         15            1   0.0000038800
      7                                          MPI_Bcast         16            1   0.0000052090
      7                                          MPI_Bcast         17            1   0.0000053970
      7                                          MPI_Bcast         18            1   0.0000046130
      7                                          MPI_Bcast         19            1   0.0000045200
      7                                          MPI_Bcast         20            1   0.0000052730
      8                                          MPI_Bcast          1            1   0.0001858150
      8                                          MPI_Bcast          2            1   0.0000080360
      8                                          MPI_Bcast          3            1   0.0000062520
      8                                          MPI_Bcast          4            1   0.0000068020
      8                                          MPI_Bcast          5            1   0.0000062650
      8                                          MPI_Bcast          6            1   0.0000060710
      8                                          MPI_Bcast          7            1   0.0000078130
      8                                          MPI_Bcast          8            1   0.0000077790
      8                                          MPI_Bcast          9            1   0.0000070420
      8                                          MPI_Bcast         10            1   0.0000066720
      8                                          MPI_Bcast         11            1   0.0000056520
      8                                          MPI_Bcast         12            1   0.0000069430
      8                                          MPI_Bcast         13            1   0.0000062840
      8                                          MPI_Bcast         14            1   0.0000067910
      8                                          MPI_Bcast         15            1   0.0000062470
      8                                          MPI_Bcast         16            1   0.0000068210
      8                                          MPI_Bcast         17            1   0.0000073730
      8                                          MPI_Bcast         18            1   0.0000066760
      8                                          MPI_Bcast         19            1   0.0000065390
      8                                          MPI_Bcast         20            1   0.0000070220
      9                                          MPI_Bcast          1            1   0.0001017120
      9                                          MPI_Bcast          2            1   0.0000035870
      9                                          MPI_Bcast          3            1   0.0000027040
      9                                          MPI_Bcast          4            1   0.0000033020
      9                                          MPI_Bcast          5            1   0.0000030980
      9                                          MPI_Bcast          6            1   0.0000029500
      9                                          MPI_Bcast          7            1   0.0000035150
      9                                          MPI_Bcast          8            1   0.0000031400
      9                                          MPI_Bcast          9            1   0.0000031010
      9                                          MPI_Bcast         10            1   0.0000028970
      9                                          MPI_Bcast         11            1   0.0000031690
      9                                          MPI_Bcast         12            1   0.0000031050
      9                                          MPI_Bcast         13            1   0.0000026030
      9                                          MPI_Bcast         14            1   0.0000032610
      9                                          MPI_Bcast         15            1   0.0000030980
      9                                          MPI_Bcast         16            1   0.0000031550
      9                                          MPI_Bcast         17            1   0.0000031950
      9                                          MPI_Bcast         18            1   0.0000027740
      9                                          MPI_Bcast         19            1   0.0000028020
      9                                          MPI_Bcast         20            1   0.0000030070
     10                                          MPI_Bcast          1            1   0.0001107750
     10                                          MPI_Bcast          2            1   0.0000058000
     10                                          MPI_Bcast          3            1   0.0000041330
     10                                          MPI_Bcast          4            1   0.0000045990
     10                                          MPI_Bcast          5            1   0.0000048170
     10                                          MPI_Bcast          6            1   0.0000046400
     10                                          MPI_Bcast          7            1   0.0000054240
     10                                          MPI_Bcast          8            1   0.0000054970
     10                                          MPI_Bcast          9            1   0.0000051410
     10                                          MPI_Bcast         10            1   0.0000045510
     10                                          MPI_Bcast         11            1   0.0000044450
     10                                          MPI_Bcast         12            1   0.0000048960
     10                                          MPI_Bcast         13            1   0.0000040420
     10                                          MPI_Bcast         14            1   0.0000051500
     10                                          MPI_Bcast         15            1   0.0000047410
     10                                          MPI_Bcast         16            1   0.0000046100
     10                                          MPI_Bcast         17            1   0.0000051990
     10                                          MPI_Bcast         18            1   0.0000039220
     10                                          MPI_Bcast         19            1   0.0000042420
     10                                          MPI_Bcast         20            1   0.0000050860
     11                                          MPI_Bcast          1            1   0.0001749790
     11                                          MPI_Bcast          2            1   0.0000056090
     11                                          MPI_Bcast          3            1   0.0000042230
     11                                          MPI_Bcast          4            1   0.0000052640
     11                                          MPI_Bcast          5            1   0.0000044420
     11                                          MPI_Bcast          6            1   0.0000041920
     11                                          MPI_Bcast          7            1   0.0000056660
     11                                          MPI_Bcast          8            1   0.0000049630
     11                                          MPI_Bcast          9            1   0.0000052680
     11                                          MPI_Bcast         10            1   0.0000046530
     11                                          MPI_Bcast         11            1   0.0000043600
