#Command-line arguments:  ../reprompi/bin/mpibenchmark --calls-list=MPI_Bcast,MPI_Alltoall,MPI_Allreduce --msizes-list=8,1024,2048 --nrep=50
#MPI calls:
#	MPI_Bcast
#	MPI_Alltoall
#	MPI_Allreduce
#Message sizes:
#	8
#	1024
#	2048
#@operation=MPI_BOR
#@datatype=MPI_BYTE
#@datatype_extent_bytes=1
#@datatype_size_bytes=1
#@root_proc=0
#@reproMPIcommitSHA1=00325471f9a39c5ffc35796f360fb02838cbef84
#@nprocs=6
#@clocktype=local
#@clock=MPI_Wtime
#@sync=MPI_Barrier
#@nrep=50
                                              test       nrep        count    runtime_sec 
                                     MPI_Allreduce         21            8   0.0000030060
                                     MPI_Allreduce         22            8   0.0000027750
                                     MPI_Allreduce         23            8   0.0000032870
                                     MPI_Allreduce         24            8   0.0000028750
                                     MPI_Allreduce         25            8   0.0000031060
                                     MPI_Allreduce         26            8   0.0000026150
                                     MPI_Allreduce         27            8   0.0000028650
                                     MPI_Allreduce         28            8   0.0000028650
                                     MPI_Allreduce         29            8   0.0000026150
                                     MPI_Allreduce         30            8   0.0000028650
                                     MPI_Allreduce         31            8   0.0000029960
                                     MPI_Allreduce         32            8   0.0000031460
                                     MPI_Allreduce         33            8   0.0000027450
                                     MPI_Allreduce         34            8   0.0000027760
                                     MPI_Allreduce         35            8   0.0000025540
                                     MPI_Allreduce         36            8   0.0000027650
                                     MPI_Allreduce         37            8   0.0000029950
                                     MPI_Allreduce         38            8   0.0000026050
                                     MPI_Allreduce         39            8   0.0000026250
                                     MPI_Allreduce         40            8   0.0000030460
                                     MPI_Allreduce         41            8   0.0000026450
                                     MPI_Allreduce         42            8   0.0000028550
                                     MPI_Allreduce         43            8   0.0000027550
                                     MPI_Allreduce         44            8   0.0000032260
                                     MPI_Allreduce         45            8   0.0000027750
                                     MPI_Allreduce         46            8   0.0000029460
                                     MPI_Allreduce         47            8   0.0000029160
                                     MPI_Allreduce         48            8   0.0000026050
                                     MPI_Allreduce         49            8   0.0000029250
                                         MPI_Bcast          0         1024   0.0000102500
                                         MPI_Bcast          1         1024   0.0000040180
